"participants","items","syntactic_condition","interp","restricted","trial_time","cc","experiment_feedback","legal_background","politics","correct_answer","accuracy"
"R_5gBLCZM0Oxku0R8",11,"baseline","Any “electronic devices” including a small battery-power fan","Broad",13.146,"Nicholas","","No legal education or work experience","Right-wing (most conservative)","Nicholas",1
"R_5j9Wa4K1z6SD3EX",10,"simple","Loud “machines” like washers or dryers","Restricted",43.375,"Sewing machine","None ","Some law-related coursework","Conservative/Republican","Sewing machine",1
"R_3Tuz2n3ZrbIk4Y9",9,"baseline","Any “sign” including a happy birthday banner","Broad",29.583,"IT","none","No legal education or work experience","Liberal/Democrat","IT",1
"R_5Q6eiD92wo2etz9",6,"simple","Any “waste” including used gift-wrapping paper","Broad",36.346,"At the campground","","No legal education or work experience","Lean Liberal","At the campground",1
"R_1p1R9DD5cH2va93",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",20.079,"Nicholas","","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_5E0cjCQFImkGtLx",12,"simple","Any “vehicle” including a bicycle","Broad",45.25,"Bicycle","","Some law-related coursework","Lean Conservative","Bicycle",1
"R_7js6PwyC3ztAg0S",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",28.499,"Nicholas","according to what was stated in the rule ill say its not allowed. but the meaning behind it was distractions and if he needed the fan to stay cool that it should be allowed. the question was very vague so feel free to change my response accordingly.","No legal education or work experience","Moderate/Centrist","Nicholas",1
"R_7ilDpO7is1snQNG",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",22.02,"Orca","Great study enjoyed taking it everything went perfect  :)","No legal education or work experience","Conservative/Republican","Orca",1
"R_5PCekW0b0aZrIM6",7,"simple","Architectural “detailed representations” like blueprints and technical drawings","Restricted",21.535,"Joshua","Thank you for this opportunity!","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_5PKQclkyddzr7uS",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",33.265,"Orca","None, thank you.","No legal education or work experience","Conservative/Republican","Orca",1
"R_7o1QEsFFv8QHkcd",8,"phrasal","Utility “tanks” like fuel storage or septic systems","Restricted",32.955,"An aquarium","None","No legal education or work experience","Moderate/Centrist","An aquarium",1
"R_5Ft8qukGMyBxagY",7,"baseline","Any “detailed representations” including an intricate painting","Broad",58.387,"Joshua","N/A","Some law-related coursework","Progressive (most liberal)","Joshua",1
"R_1jHdOfGFY5bzJtX",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",50.157,"Housing subsidy","None","No legal education or work experience","Lean Liberal","Housing subsidy",1
"R_53wvNVa8DqRDf7r",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",121.672,"At the campground","","Legal work experience but no law degree","Right-wing (most conservative)","At the campground",1
"R_5oToi9SimiXU8qs",7,"phrasal","Architectural “detailed representations” like blueprints and technical drawings","Restricted",104.462,"Joshua","","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_5YmHj57PgOOxBbb",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",52.951,"Housing subsidy","I think it's unconscienble and hyprocritical that a student would have to pay taxes on and educational benefit. This is an item that should be tax exempt. Why can the rich write off yachts, jets, and luxurious expenses but a student must pay taxes on educational benefits just shows you how rigged our system is.","No legal education or work experience","Progressive (most liberal)","Housing subsidy",1
"R_3JxGal2NGik15Gk",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",48.972,"Bicycle","Since cars and trucks were mentioned, I believe that the law applies to motorized vehicles. However, I recognize that the law doesn't explicitly say that, so I can understand how someone could interpret it differently.","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_3TL5UFnGvCwL0dP",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",57.396,"Bicycle","This was a interesting experience ","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_7wRlidsvE3FD0y4",10,"baseline","Any “machine” including a small sewing machine","Broad",77.063,"Sewing machine","","No legal education or work experience","Moderate/Centrist","Sewing machine",1
"R_3H8Oai5uvBUy2Bj",9,"simple","Any “sign” including a happy birthday banner","Broad",27.618,"IT","","No legal education or work experience","Lean Liberal","IT",1
"R_3XgqBSqx47m2t95",8,"baseline","Any “tank” including a fish tank","Broad",67.523,"An aquarium","","No legal education or work experience","Moderate/Centrist","An aquarium",1
"R_6FJxXZ12wLSdt1E",10,"phrasal","Any “machine” including a small sewing machine","Broad",16.729,"Sewing machine","","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_5vjZJ7aZupC5ML2",5,"baseline","Any kind of “closed and fastened case” including a purse","Broad",33.316,"In her purse","","No legal education or work experience","Conservative/Republican","In her purse",1
"R_1cSoClMdLvhQErW",4,"baseline","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",29.139,"Power plant","all went well no glitches","No legal education or work experience","Right-wing (most conservative)","Power plant",1
"R_1rNR2nGSUd4Sif7",6,"phrasal","“Waste” that could attract animals like food or drinks","Restricted",66.613,"At the campground","","No legal education or work experience","Lean Liberal","At the campground",1
"R_1LwdBi07Yi9UoDN",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",18.845,"Nicholas","","No legal education or work experience","Lean Liberal","Nicholas",1
"R_5e2nOBFhxKGI1Yl",9,"simple","Promotional “signs” like advertisements or flyers","Restricted",32.689,"IT","","No legal education or work experience","Liberal/Democrat","IT",1
"R_1MxQySwjqaQIkG7",4,"baseline","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",26.733,"Power plant","","No legal education or work experience","Liberal/Democrat","Power plant",1
"R_3rqqnM7RK8MD9cd",3,"simple","Any “clinic” including a wellness spa","Broad",34.609,"Gun","","No legal education or work experience","Moderate/Centrist","Gun",1
"R_3eQdIEDls7c89jZ",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",43.523,"In her purse","Interesting little study. Thank you for letting me participate!","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_1dK3DG4Gs80cqfL",7,"baseline","Any “detailed representations” including an intricate painting","Broad",22.008,"Joe","","No legal education or work experience","Lean Conservative","Joshua",0
"R_6YAnduzmY4gQqWy",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",41.471,"In her purse","","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_1fBwzTl8yUkiFQP",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",22.685,"Orca","","No legal education or work experience","Conservative/Republican","Orca",1
"R_7oGRdW5JR4w5xg2",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",40.007,"At the campground","","No legal education or work experience","Conservative/Republican","At the campground",1
"R_6dRFyo5ixQOH4Po",6,"simple","“Waste” that could attract animals like food or drinks","Restricted",28.645,"At the campground","n/a","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_1CVvlwZx6c5YxZi",3,"baseline","Any “clinic” including a wellness spa","Broad",11.744,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_1NLejRzIdaWz6nP",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",69.391,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_1vVhFAnvlb1RDpL",10,"phrasal","Any “machine” including a small sewing machine","Broad",24.274,"Sewing machine","n/a","No legal education or work experience","Right-wing (most conservative)","Sewing machine",1
"R_7M6CahZtF3dv1R9",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",18.843,"Orca","","No legal education or work experience","Progressive (most liberal)","Orca",1
"R_5FjkCcpNISOPyIF",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",29.415,"Orca","This may be an oversimplification, but harm that caused by neglect is still harm. I would, however, place different penalties for harm that was due to neglect versus direct, willful harm. ","No legal education or work experience","Progressive (most liberal)","Orca",1
"R_5PzvLOUcThAZmIY",9,"phrasal","Any “sign” including a happy birthday banner","Broad",16.804,"IT","Easy survey","Some law-related coursework","Liberal/Democrat","IT",1
"R_5dlTnqTQC5rFyjT",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",24.173,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_3f8rAHYO7lKm6Gd",7,"simple","Any “detailed representations” including an intricate painting","Broad",71.202,"Joshua","","No legal education or work experience","Conservative/Republican","Joshua",1
"R_5ixmHUTG9K2jeOO",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",111.182,"Joshua","A very interesting study! Thank you for the opportunity me to participate in your research :)","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_1LbWtHSMXylcGsG",8,"phrasal","Utility “tanks” like fuel storage or septic systems","Restricted",24.139,"An aquarium","","Some law-related coursework","Lean Conservative","An aquarium",1
"R_1HLAKv4LwmmIHSn",9,"baseline","Any “sign” including a happy birthday banner","Broad",18.837,"IT","","No legal education or work experience","Moderate/Centrist","IT",1
"R_7OCWOSjA0oWc6Sq",10,"baseline","Any “machine” including a small sewing machine","Broad",28.611,"Sewing machine","none","No legal education or work experience","Conservative/Republican","Sewing machine",1
"R_3axHJLbrvXGHVSs",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",33.342,"Bicycle","","No legal education or work experience","Progressive (most liberal)","Bicycle",1
"R_1nqGcluVNXvR1Cy",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",12.476,"Bicycle","","Some law-related coursework","Lean Conservative","Bicycle",1
"R_5cNFkbw0xfpuE49",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",17.65,"In its original packaging","","No legal education or work experience","Progressive (most liberal)","In her purse",0
"R_5PtBIRuMxjiVWmP",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",12.468,"Nicholas","","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_5lVxRRffAozZunE",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",24.964,"Power plant","","No legal education or work experience","Lean Conservative","Power plant",1
"R_5wuJGwMXKsAcwvA",3,"phrasal","Medical “clinics” that are like hospitals or urgent care centers","Restricted",18.361,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_6AIHTHfU4nyFaet",4,"simple","Any “relinquishment” including a temporary lease","Broad",20.322,"Power plant","","Licensed attorney","Progressive (most liberal)","Power plant",1
"R_3cYsz5N98LmzWRX",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",33.689,"Power plant","","No legal education or work experience","Liberal/Democrat","Power plant",1
"R_71IMelwhfCfecTv",8,"baseline","Utility “tanks” like fuel storage or septic systems","Restricted",22.857,"An aquarium","","No legal education or work experience","Lean Conservative","An aquarium",1
"R_5SyfDSZZRRTGJfb",3,"phrasal","Any “clinic” including a wellness spa","Broad",20.196,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_5Oqsxj6V3puEW7Z",12,"phrasal","Any “vehicle” including a bicycle","Broad",34.621,"Bicycle","Enjoyable","No legal education or work experience","Progressive (most liberal)","Bicycle",1
"R_3LtVInwfbG9TBqW",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",15.158,"Gun","","No legal education or work experience","Moderate/Centrist","Gun",1
"R_5na14KDUtKNaZe9",5,"simple","Any kind of “closed and fastened case” including a purse","Broad",16.961,"In her purse","","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_8y3mmbmOOWvefYY",4,"simple","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",35.211,"Power plant","","No legal education or work experience","Right-wing (most conservative)","Power plant",1
"R_5g7dugBmEmtRLWk",10,"baseline","Any “machine” including a small sewing machine","Broad",12.642,"Sewing machine","","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_7NqExqXiTRyA3D3",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",23.279,"Housing subsidy","","Some law-related coursework","Progressive (most liberal)","Housing subsidy",1
"R_7dy7aQFw2q3fwF7",6,"simple","“Waste” that could attract animals like food or drinks","Restricted",18.028,"At the campground","","No legal education or work experience","Right-wing (most conservative)","At the campground",1
"R_5zkdwUif2eL6nep",9,"baseline","Any “sign” including a happy birthday banner","Broad",17.348,"IT","","No legal education or work experience","Liberal/Democrat","IT",1
"R_5k53rBH05PGdYrf",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",28.863,"In her purse","","No legal education or work experience","Conservative/Republican","In her purse",1
"R_3qDfBIPIZMWnskL",8,"baseline","Any “tank” including a fish tank","Broad",31.463,"An aquarium","","Legal work experience but no law degree","Liberal/Democrat","An aquarium",1
"R_5ZV9eJE9wFLyHId",10,"simple","Loud “machines” like washers or dryers","Restricted",26.179,"Sewing machine","","No legal education or work experience","Progressive (most liberal)","Sewing machine",1
"R_1MFi8SYENp4cvop",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",28.436,"Bicycle","","No legal education or work experience","Right-wing (most conservative)","Bicycle",1
"R_54jTh36owwe6z4V",2,"simple","Direct, intentional “harms” that are like hunting and shooting","Restricted",32.847,"Orca","This was an interesting experiment.","No legal education or work experience","Moderate/Centrist","Orca",1
"R_6CZXww44c7HS3pY",9,"simple","Any “sign” including a happy birthday banner","Broad",22.537,"HR","","No legal education or work experience","Conservative/Republican","IT",0
"R_6g5ZjfGt2896sT9",4,"baseline","Any “relinquishment” including a temporary lease","Broad",19.067,"Power plant","","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_6GwcPdsRLEhu7Eg",6,"phrasal","“Waste” that could attract animals like food or drinks","Restricted",29.049,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_3rQUymDwsBH2fmh",1,"phrasal","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",36.618,"Housing subsidy","","Some law-related coursework","Liberal/Democrat","Housing subsidy",1
"R_3jg3whBJzAMdXLX",10,"baseline","Any “machine” including a small sewing machine","Broad",15.168,"Sewing machine","","No legal education or work experience","Moderate/Centrist","Sewing machine",1
"R_60tVfStGR8ZB0Nb",8,"phrasal","Any “tank” including a fish tank","Broad",36.596,"An aquarium","None!","No legal education or work experience","Conservative/Republican","An aquarium",1
"R_5IcMlyJqcilimKL",9,"phrasal","Any “sign” including a happy birthday banner","Broad",16.082,"IT","","No legal education or work experience","Lean Conservative","IT",1
"R_8eBrIxY2I6RToqt",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",53.985,"Housing subsidy","","Some law-related coursework","Liberal/Democrat","Housing subsidy",1
"R_5QlVvVadHTsw0Hn",7,"phrasal","Architectural “detailed representations” like blueprints and technical drawings","Restricted",52.504,"Joshua","","No legal education or work experience","Progressive (most liberal)","Joshua",1
"R_3UhlbvjQM1fapg4",10,"phrasal","Loud “machines” like washers or dryers","Restricted",22.879,"Sewing machine","","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_6ypIs1fH0YF4GeB",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",38.292,"Gun","","No legal education or work experience","Lean Liberal","Gun",1
"R_5ZQDO1upeiZZ5m3",8,"baseline","Utility “tanks” like fuel storage or septic systems","Restricted",19.299,"An aquarium","Anything can be called a tank by that logic. Cars have gas tanks, are they excepted","Legal work experience but no law degree","Progressive (most liberal)","An aquarium",1
"R_7hgZmEpU7S6Qhrj",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",20.676,"Orca","","No legal education or work experience","Lean Liberal","Orca",1
"R_5YWGuHx3XUtjZBA",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",20.858,"Joe","","No legal education or work experience","Moderate/Centrist","Joshua",0
"R_7pc5zdRdJPZBLMZ",12,"baseline","Any “vehicle” including a bicycle","Broad",11.969,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_7Lu5YOIKRNRXDoM",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",18.848,"Bicycle","","No legal education or work experience","Progressive (most liberal)","Bicycle",1
"R_7ToqFYSSVh6FEoo",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",17.19,"Housing subsidy","","No legal education or work experience","Lean Conservative","Housing subsidy",1
"R_5YQ9ebUXtLA07eE",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",27.037,"Nicholas","I think the rules say no electronic devices, in reality though no one would give him a hard time about a fan.","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_1LeAxTV9HYFOi8P",10,"simple","Loud “machines” like washers or dryers","Restricted",12.271,"Sewing machine","","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_5U9a6ZicBRdXq6J",8,"simple","Any “tank” including a fish tank","Broad",39.669,"A pet store","","No legal education or work experience","Lean Conservative","An aquarium",0
"R_69s1ggOWdMFJEky",5,"baseline","Any kind of “closed and fastened case” including a purse","Broad",27.82,"In her purse","","No legal education or work experience","Progressive (most liberal)","In her purse",1
"R_5e8JB4rp0wUtcZd",9,"baseline","Promotional “signs” like advertisements or flyers","Restricted",16.372,"IT","","No legal education or work experience","Liberal/Democrat","IT",1
"R_7veRUmu1YHOzmO5",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",49.122,"In her purse","","No legal education or work experience","Progressive (most liberal)","In her purse",1
"R_15fQm1vJU1wl9Ad",5,"phrasal","Any kind of “closed and fastened case” including a purse","Broad",28.879,"In her purse","none at this time","Some law-related coursework","Liberal/Democrat","In her purse",1
"R_7Hi6rMc4jjTX6eP",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",31.299,"At the campground","","No legal education or work experience","Conservative/Republican","At the campground",1
"R_5En04C7rtCk5KFH",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",39.971,"Housing subsidy","","No legal education or work experience","Lean Conservative","Housing subsidy",1
"R_5GuJZxUyf1wNTVv",5,"phrasal","Any kind of “closed and fastened case” including a purse","Broad",42.037,"In her purse","N/A","No legal education or work experience","Lean Conservative","In her purse",1
"R_6K7NlIL4xyMUD1G",3,"baseline","Any “clinic” including a wellness spa","Broad",19.615,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_7lSu521vWT8JtCy",11,"baseline","Any “electronic devices” including a small battery-power fan","Broad",43.242,"Nicholas","","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_5KQFwkvqtuMqUFz",9,"simple","Any “sign” including a happy birthday banner","Broad",30.347,"IT","","No legal education or work experience","Moderate/Centrist","IT",1
"R_7ZX0hjt2iVnkK41",8,"simple","Any “tank” including a fish tank","Broad",29.023,"An aquarium","everything was clear, thank you","No legal education or work experience","Moderate/Centrist","An aquarium",1
"R_7I4Ykn6Zjkac6IF",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",26.803,"Gun","","Some law-related coursework","Liberal/Democrat","Gun",1
"R_1s4EGQL5xTnPHOD",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",29.91,"At the campground","","No legal education or work experience","Moderate/Centrist","At the campground",1
"R_3OPKZ2q1oBysVhy",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",28.085,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_6gi0ahmkIZgGQRi",11,"simple","Any “electronic devices” including a small battery-power fan","Broad",28.441,"Nicholas","","No legal education or work experience","Moderate/Centrist","Nicholas",1
"R_1gEXQ6BvMfQgOuR",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",19.838,"Orca","","Other (please specify)","Conservative/Republican","Orca",1
"R_55L5CPmsSqqjVOd",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",25.87,"Nicholas","","No legal education or work experience","Lean Conservative","Nicholas",1
"R_6eaxQtupgK3XMbv",7,"simple","Architectural “detailed representations” like blueprints and technical drawings","Restricted",37.782,"Joshua","Thank you!","No legal education or work experience","Lean Conservative","Joshua",1
"R_1uPvSjvq9RmDaw8",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",12.938,"Nicholas","","Legal work experience but no law degree","Liberal/Democrat","Nicholas",1
"R_5myMFW3YfORRtI8",4,"baseline","Any “relinquishment” including a temporary lease","Broad",33.998,"Power plant","None","No legal education or work experience","Liberal/Democrat","Power plant",1
"R_5JeCwT0OIrn74E9",3,"phrasal","Any “clinic” including a wellness spa","Broad",28.364,"Gun","","No legal education or work experience","Progressive (most liberal)","Gun",1
"R_1IjvNyz5kl7CF3z",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",22.931,"Gun","","No legal education or work experience","Progressive (most liberal)","Gun",1
"R_5DpZ3cveUsEtIzz",10,"simple","Loud “machines” like washers or dryers","Restricted",23.654,"Sewing machine","","Licensed attorney","Conservative/Republican","Sewing machine",1
"R_5Og4VY8BIrGYMoN",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",19.729,"Nicholas","","Legal work experience but no law degree","Liberal/Democrat","Nicholas",1
"R_7LIj0Zodxyi5hkI",8,"phrasal","Utility “tanks” like fuel storage or septic systems","Restricted",27.999,"An aquarium","","No legal education or work experience","Lean Liberal","An aquarium",1
"R_1kfdR7iLYbnK41P",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",41.693,"Housing subsidy","","No legal education or work experience","Lean Conservative","Housing subsidy",1
"R_5U8VG1pB5nSzMyV",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",21.505,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_3LNgIzQDCewsarh",12,"baseline","Any “vehicle” including a bicycle","Broad",19.281,"Bicycle","","No legal education or work experience","Progressive (most liberal)","Bicycle",1
"R_7ctoDjAlFP91Anx",4,"simple","Any “relinquishment” including a temporary lease","Broad",30.352,"Power plant","","No legal education or work experience","Liberal/Democrat","Power plant",1
"R_12yXRvEh1d8kRdx",7,"baseline","Architectural “detailed representations” like blueprints and technical drawings","Restricted",77.518,"George","Sorry I forgot the name of the artist, I was thinking about the concept.","No legal education or work experience","Lean Conservative","Joshua",0
"R_74CsjQsKwZVPFny",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",21.033,"Bicycle","","No legal education or work experience","Lean Conservative","Bicycle",1
"R_7ONk9AlEszkmKa9",10,"baseline","Any “machine” including a small sewing machine","Broad",21.09,"Sewing machine","nothing to add","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_7lSauQw2J0XrboU",9,"baseline","Any “sign” including a happy birthday banner","Broad",18.299,"IT","","No legal education or work experience","Liberal/Democrat","IT",1
"R_5AXQkFw94Myim0e",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",2.212,"In its original packaging","","Legal work experience but no law degree","Progressive (most liberal)","In her purse",0
"R_5aGzqL77TrJp12V",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",22.864,"Orca","","Some law-related coursework","Liberal/Democrat","Orca",1
"R_3OPbNbepSb0f7bk",10,"phrasal","Loud “machines” like washers or dryers","Restricted",20.517,"Sewing machine","","Current law student","Liberal/Democrat","Sewing machine",1
"R_7Qgk8aodAjlSyLT",7,"simple","Architectural “detailed representations” like blueprints and technical drawings","Restricted",26.011,"Joshua","nothing to share today","Other (please specify)","Right-wing (most conservative)","Joshua",1
"R_1Dqm1drfY0DjQ4b",7,"baseline","Any “detailed representations” including an intricate painting","Broad",42.307,"Joshua","","No legal education or work experience","Conservative/Republican","Joshua",1
"R_5lqdEG3A5cudVLz",8,"phrasal","Utility “tanks” like fuel storage or septic systems","Restricted",23.692,"An aquarium","Thank you!","Some law-related coursework","Liberal/Democrat","An aquarium",1
"R_6N7oAJycJe0GGEp",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",50.945,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_6nYIWvi7xnyrrFt",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",32.404,"At the campground","","No legal education or work experience","Lean Liberal","At the campground",1
"R_6N8LObkFjGJUcoj",3,"phrasal","Medical “clinics” that are like hospitals or urgent care centers","Restricted",31.037,"Gun","nothing to add","No legal education or work experience","Liberal/Democrat","Gun",1
"R_3JPEVLici5BS1a2",3,"phrasal","Medical “clinics” that are like hospitals or urgent care centers","Restricted",22.352,"Gun","","No legal education or work experience","Lean Conservative","Gun",1
"R_1xnhkyfsRVEeCIN",6,"simple","“Waste” that could attract animals like food or drinks","Restricted",28.261,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_5bZuvMy1VzugBvI",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",50.771,"Nicholas","","No legal education or work experience","Progressive (most liberal)","Nicholas",1
"R_5COExDNlfjz06lv",6,"baseline","“Waste” that could attract animals like food or drinks","Restricted",24.202,"At the campground","","No legal education or work experience","Moderate/Centrist","At the campground",1
"R_5LFMoF3ATFPO1UK",2,"phrasal","Direct, intentional “harms” that are like hunting and shooting","Restricted",59.725,"Orca","","No legal education or work experience","Lean Conservative","Orca",1
"R_5KyIU119NL35S7L",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",31.797,"Nicholas","The difference was between electric and electronic. ","No legal education or work experience","Lean Conservative","Nicholas",1
"R_1aQfMmWBA43P8Wd",9,"baseline","Any “sign” including a happy birthday banner","Broad",23.761,"IT","","Some law-related coursework","Liberal/Democrat","IT",1
